id,slurm_id,elapsed
1930,58250603,00:04:19
1928,58246420,00:04:35
1930,58248564,00:00:16
1985,58759993,00:00:19
1947,58297276,00:03:51
1958,58301048,00:05:18
1954,58300140,00:00:13
1927,58246071,00:04:18
1929,58250597,00:04:27
1922,58230188,00:04:07
1931,58256258,00:04:28
1947,58297178,00:00:17
1984,58367145,00:04:10
1936,58286783,00:04:05
1982,58761726,00:03:11
1981,58367086,00:04:29
1948,58298006,00:03:59
1928,,
1935,58285316,00:04:00
1934,58300314,00:05:38
1986,58760233,00:06:30
1980,58367022,00:07:03
1991,58761029,00:05:44
1921,58229945,00:05:14
1929,58248543,00:00:17
1983,58367143,00:04:21
1950,58298841,00:04:57
1992,58761110,00:05:59
1985,58760492,00:05:24
1956,58761735,00:07:02
1978,58366725,00:06:07
1763,57057644,00:04:13
1760,57057804,00:05:11
1762,57057799,00:00:20
1761,57057803,00:00:14
1762,57058289,00:00:12
1766,57058389,00:04:20
1770,57062079,00:00:00
1917,58228012,00:04:23
1761,57058290,00:30:25
1937,58287251,00:04:09
1764,57059306,00:00:27
1767,57060036,00:05:56
1761,57060126,02:43:51
1938,58288135,00:04:10
1939,58288362,00:04:04
1941,58288720,00:04:47
1940,58288565,00:04:51
1951,58299287,00:05:08
1953,58300136,00:04:07
1982,58367089,00:04:04
1957,58761740,00:05:11
1942,58289132,00:04:04
1945,58290079,00:03:48
1952,58300133,00:04:24
1954,58300443,00:04:16
1943,58289252,00:04:34
1944,58289509,00:04:34
1946,58290875,00:05:38
1949,58298883,00:04:04
1979,58366903,00:06:12
1982,58368161,00:03:25
2076,59977101,00:05:09
2028,2211161,00:13:30
2030,2211179,00:14:06
2080,59977123,00:06:23
2102,60536087,00:03:38
2015,2205766,00:06:15
2060,59447972,00:19:53
2075,59976424,00:10:31
2076,59976473,00:00:09
2062,59450763,00:04:16
2066,59970395,00:04:52
2016,2205799,00:07:51
2067,59971607,00:04:29
2079,59977116,00:06:33
2019,2205983,00:13:12
2071,59972709,00:04:19
2082,59978407,00:06:07
2076,59976421,00:00:20
2107,60538410,00:07:25
2103,60536396,00:03:46
2110,60538622,00:07:59
2111,60538672,00:05:43
2114,60538781,00:05:36
2146,60639114,00:04:46
2061,59448369,00:00:27
2068,59971893,00:04:14
2113,60538755,00:03:48
2018,2205982,00:13:20
2020,2205984,00:13:02
2145,60617833,00:04:12
2086,59978750,00:07:02
2148,60617860,00:00:20
2021,2209199,00:06:24
2031,2211180,00:00:31
2100,60535742,00:03:44
2126,60602261,00:06:13
2127,60602262,00:04:15
2149,60645233,00:04:56
2151,60645237,00:06:16
2133,60602286,00:06:27
2106,60537377,00:04:45
2035,2211185,00:20:19
2061,59450374,00:04:41
2071,59972522,00:00:16
2024,2209372,00:08:07
2025,2209373,00:07:58
2142,60617803,00:04:32
2082,59977594,00:00:18
2026,2209504,00:07:33
2112,60538686,00:06:02
2027,2209512,00:06:17
2147,60617843,00:04:11
2087,59978953,00:05:52
2143,60617830,00:04:14
2121,60577172,00:04:36
2144,60617831,00:04:42
2146,60617838,00:00:08
2132,60602284,00:04:16
2123,60578730,00:04:02
2108,60538498,00:06:12
2029,2211178,00:20:25
2033,2211183,00:20:33
2036,2211186,00:19:43
2088,59979091,00:05:53
2064,59969570,00:03:52
2065,59970103,00:04:23
2070,59972249,00:04:20
2079,59976583,00:00:11
2109,60538572,00:04:07
2105,60536936,00:05:29
2081,59977591,00:04:26
2142,60615792,00:04:38
2125,60602257,00:06:00
2085,59978403,00:08:05
2148,60638629,00:04:34
2128,60602276,00:05:56
2165,60655621,00:03:51
2172,60681062,00:05:32
2164,60655303,00:03:38
2185,60685186,00:07:03
2171,60683274,00:07:16
2186,60685630,00:06:37
2174,60683512,00:06:25
3222,,00:10:50
3126,61261904,00:05:03
3124,61261303,00:05:09
3108,61244627,00:05:21
3229,61938868,00:06:34
3261,62112098,00:18:59
3289,3078556,00:19:12
3205,61799953,00:05:47
3113,61237794,00:04:42
3287,62266268,00:09:50
3115,61237830,00:04:52
3117,61237870,00:00:10
3118,61244598,00:06:10
3263,62112464,00:19:25
2169,60683269,00:05:23
2170,60683272,00:05:42
2173,60683511,00:05:28
2190,60686005,00:08:05
2192,60686007,00:08:04
3114,61237811,00:05:18
3116,61237847,00:04:44
3288,3078555,00:19:38
3257,62112635,00:30:26
3292,3078560,00:14:06
3290,3078558,00:18:29
3294,3078563,00:16:24
2167,60683267,00:06:02
2168,60683268,00:04:26
3116,61244607,00:06:19
3225,61923457,00:04:38
3293,3078561,00:16:59
3260,62111095,00:00:25
3291,3078559,00:16:57
3235,61928196,00:06:50
3115,61244612,00:05:14
3227,61928163,00:05:18
3113,61244622,00:04:46
3229,61928171,00:30:39
3295,3078565,00:16:14
3231,61928174,00:10:03
2187,60685444,00:06:37
2189,60686002,00:08:29
2191,60686006,00:08:22
3250,62110135,00:10:44
3230,61928173,00:12:24
3266,62113024,00:30:05
3245,62108302,00:12:54
3321,62308353,00:11:42
3258,62110896,00:00:23
3116,61250578,00:00:13
3125,61261345,00:06:04
3117,61250585,00:00:12
3233,61928192,00:05:18
3322,62311116,00:09:53
3121,61257647,00:05:13
3118,61250590,00:05:00
3119,61256073,00:04:59
3223,61920869,00:05:48
3234,61928193,00:06:42
3228,61928170,00:30:19
3226,61924122,00:04:52
3224,61923176,00:04:36
3228,61938800,00:05:09
3232,61928191,00:30:36
3248,62109734,00:13:15
3251,62110130,00:11:08
3296,62314123,00:09:26
3259,62110952,00:16:29
3228,61937963,00:00:19
3257,62110786,00:30:03
3116,61254276,00:04:54
3323,62314977,00:09:30
3124,61260668,00:05:13
3257,62113918,00:11:58
3122,61258563,00:05:39
3249,62110133,00:17:28
3228,61937984,00:00:13
3118,2765785,00:06:41
3253,62110473,00:11:47
3324,62314988,00:10:19
3123,61259622,00:06:04
3232,61938738,00:05:03
3114,61244617,00:06:00
3254,62110508,00:20:37
3249,62109886,00:02:47
3256,62110763,00:00:34
3252,62110232,00:15:54
4035,62672025,00:00:00
4013,62585177,00:10:22
4035,62654137,00:07:42
4000,62577991,00:09:55
4037,62672019,00:00:00
4037,62654345,00:05:02
4002,62579285,00:13:58
4315,62854574,00:10:42
4001,62578235,00:09:07
4010,62584047,00:12:43
4041,62672777,00:09:23
4047,62674595,00:09:58
4011,62584398,00:12:32
4042,62672857,00:09:43
4012,62585133,00:17:01
4048,62674614,00:11:31
4050,62675765,00:12:05
4051,62675780,00:11:43
4019,62587420,00:00:16
4060,62681962,00:13:27
4052,62676254,00:11:53
4018,62586938,00:10:17
4036,62672023,00:00:00
4045,62673457,00:14:03
4049,62674830,00:11:09
4053,62676276,00:12:13
4054,62679521,00:11:36
4043,62672927,00:09:46
4019,62587592,00:00:32
4020,62587736,00:00:11
4057,62680259,00:12:09
4056,62680252,00:11:48
4058,62680263,00:11:31
4019,62587746,00:10:35
4020,62587888,00:10:21
4055,62679530,00:13:37
4021,62588824,00:10:37
4061,62682607,00:11:19
4008,62583094,00:09:59
4062,62682624,00:12:14
4026,62630505,00:10:29
4009,62583874,00:10:44
4063,62682998,00:12:06
4046,62674590,00:13:18
4036,62654344,00:10:45
4044,62673102,00:10:51
4767,63078680,00:10:16
4771,63086860,00:10:22
4778,63148442,00:13:06
4775,63086923,00:20:48
4772,63086879,00:10:34
4768,63078683,00:12:56
