scan_number,time0,time1,time2,time3,time_last_written
4728,2023-10-16T15:30:41+00:00,2023-10-16T15:30:39+00:00,2023-10-16T15:30:43+00:00,2023-10-16T15:30:43+00:00,2023-10-16T15:30:45+00:00
4729,2023-10-16T15:50:44+00:00,2023-10-16T15:50:42+00:00,2023-10-16T15:50:46+00:00,2023-10-16T15:50:46+00:00,2023-10-16T15:50:48+00:00
4730,2023-10-16T15:51:01+00:00,2023-10-16T15:50:59+00:00,2023-10-16T15:51:03+00:00,2023-10-16T15:51:03+00:00,2023-10-16T15:51:05+00:00
4731,2023-10-16T15:51:10+00:00,2023-10-16T15:51:08+00:00,2023-10-16T15:51:12+00:00,2023-10-16T15:51:12+00:00,2023-10-16T15:51:14+00:00
4732,2023-10-16T15:51:19+00:00,2023-10-16T15:51:17+00:00,2023-10-16T15:51:21+00:00,2023-10-16T15:51:21+00:00,2023-10-16T15:51:23+00:00
4733,2023-10-16T15:53:10+00:00,2023-10-16T15:53:08+00:00,2023-10-16T15:53:12+00:00,2023-10-16T15:53:12+00:00,2023-10-16T15:53:14+00:00
4734,2023-10-16T15:53:19+00:00,2023-10-16T15:53:17+00:00,2023-10-16T15:53:21+00:00,2023-10-16T15:53:21+00:00,2023-10-16T15:53:23+00:00
4735,2023-10-16T15:53:34+00:00,2023-10-16T15:53:32+00:00,2023-10-16T15:53:36+00:00,2023-10-16T15:53:37+00:00,2023-10-16T15:53:39+00:00
4736,2023-10-16T15:53:42+00:00,2023-10-16T15:53:40+00:00,2023-10-16T15:53:44+00:00,2023-10-16T15:53:44+00:00,2023-10-16T15:53:46+00:00
4737,2023-10-16T15:53:53+00:00,2023-10-16T15:53:51+00:00,2023-10-16T15:53:55+00:00,2023-10-16T15:53:55+00:00,2023-10-16T15:53:57+00:00
4738,2023-10-16T16:03:23+00:00,2023-10-16T16:03:21+00:00,2023-10-16T16:03:25+00:00,2023-10-16T16:03:25+00:00,2023-10-16T16:03:32+00:00
4739,2023-10-16T16:03:43+00:00,2023-10-16T16:03:41+00:00,2023-10-16T16:03:45+00:00,2023-10-16T16:03:45+00:00,2023-10-16T16:03:52+00:00
4740,2023-10-16T16:04:03+00:00,2023-10-16T16:04:01+00:00,2023-10-16T16:04:05+00:00,2023-10-16T16:04:05+00:00,2023-10-16T16:04:12+00:00
4741,2023-10-16T16:04:59+00:00,2023-10-16T16:04:56+00:00,2023-10-16T16:05:00+00:00,2023-10-16T16:05:01+00:00,2023-10-16T16:05:08+00:00
4742,2023-10-16T16:05:15+00:00,2023-10-16T16:05:13+00:00,2023-10-16T16:05:17+00:00,2023-10-16T16:05:17+00:00,2023-10-16T16:05:24+00:00
4743,2023-10-16T16:05:26+00:00,2023-10-16T16:05:24+00:00,2023-10-16T16:05:28+00:00,2023-10-16T16:05:28+00:00,2023-10-16T16:05:36+00:00
4744,2023-10-16T16:05:38+00:00,2023-10-16T16:05:35+00:00,2023-10-16T16:05:39+00:00,2023-10-16T16:05:40+00:00,2023-10-16T16:05:47+00:00
4745,2023-10-16T16:05:50+00:00,2023-10-16T16:05:48+00:00,2023-10-16T16:05:52+00:00,2023-10-16T16:05:52+00:00,2023-10-16T16:05:59+00:00
4746,2023-10-16T16:06:01+00:00,2023-10-16T16:05:59+00:00,2023-10-16T16:06:03+00:00,2023-10-16T16:06:04+00:00,2023-10-16T16:06:11+00:00
4747,2023-10-16T16:06:15+00:00,2023-10-16T16:06:13+00:00,2023-10-16T16:06:17+00:00,2023-10-16T16:06:17+00:00,2023-10-16T16:06:24+00:00
4748,2023-10-16T16:09:42+00:00,2023-10-16T16:09:40+00:00,2023-10-16T16:09:44+00:00,2023-10-16T16:09:44+00:00,2023-10-16T16:10:12+00:00
4749,2023-10-16T16:11:00+00:00,2023-10-16T16:10:58+00:00,2023-10-16T16:11:02+00:00,2023-10-16T16:11:02+00:00,2023-10-16T16:11:30+00:00
4750,2023-10-16T16:11:54+00:00,2023-10-16T16:11:52+00:00,2023-10-16T16:11:56+00:00,2023-10-16T16:11:56+00:00,2023-10-16T16:12:24+00:00
4751,2023-10-16T16:13:21+00:00,2023-10-16T16:13:19+00:00,2023-10-16T16:13:23+00:00,2023-10-16T16:13:24+00:00,2023-10-16T16:13:47+00:00
4752,2023-10-16T16:14:12+00:00,2023-10-16T16:14:10+00:00,2023-10-16T16:14:14+00:00,2023-10-16T16:14:14+00:00,2023-10-16T16:14:42+00:00
4753,2023-10-16T16:14:52+00:00,2023-10-16T16:14:49+00:00,2023-10-16T16:14:53+00:00,2023-10-16T16:14:54+00:00,2023-10-16T16:15:21+00:00
4754,2023-10-16T16:15:30+00:00,2023-10-16T16:15:28+00:00,2023-10-16T16:15:32+00:00,2023-10-16T16:15:32+00:00,2023-10-16T16:16:01+00:00
4755,2023-10-16T16:16:09+00:00,2023-10-16T16:16:07+00:00,2023-10-16T16:16:11+00:00,2023-10-16T16:16:11+00:00,2023-10-16T16:16:40+00:00
4756,2023-10-16T16:17:34+00:00,2023-10-16T16:17:32+00:00,2023-10-16T16:17:36+00:00,2023-10-16T16:17:37+00:00,2023-10-16T16:18:05+00:00
4757,2023-10-16T16:19:35+00:00,2023-10-16T16:19:32+00:00,2023-10-16T16:19:36+00:00,2023-10-16T16:19:37+00:00,2023-10-16T16:20:06+00:00
4758,2023-10-16T16:22:48+00:00,2023-10-16T16:22:46+00:00,2023-10-16T16:22:50+00:00,2023-10-16T16:22:50+00:00,2023-10-16T16:23:18+00:00
4759,2023-10-16T16:33:17+00:00,2023-10-16T16:33:15+00:00,2023-10-16T16:33:19+00:00,2023-10-16T16:33:19+00:00,2023-10-16T16:33:48+00:00
4760,2023-10-16T16:34:40+00:00,2023-10-16T16:34:37+00:00,2023-10-16T16:34:41+00:00,2023-10-16T16:34:42+00:00,2023-10-16T16:35:09+00:00
4761,2023-10-16T16:35:25+00:00,2023-10-16T16:35:22+00:00,2023-10-16T16:35:26+00:00,2023-10-16T16:36:40+00:00,2023-10-16T16:35:54+00:00
4762,2023-10-16T16:36:38+00:00,2023-10-16T16:36:36+00:00,2023-10-16T16:36:40+00:00,2023-10-16T16:36:40+00:00,2023-10-16T16:38:44+00:00
