scan_number,time0,time1,time2,time3
0,2023-10-14T05:26:44+00:00,2023-10-14T17:01:00+00:00,2023-10-14T05:31:24+00:00,2023-10-14T05:01:04+00:00
1250,2023-08-28T17:10:14+00:00,2023-08-28T17:08:01+00:00,2023-08-28T17:04:53+00:00,2023-08-28T17:12:03+00:00
1251,2023-08-28T17:23:09+00:00,2023-08-28T17:20:55+00:00,2023-08-28T17:17:48+00:00,2023-08-28T17:24:57+00:00
1252,2023-08-28T17:24:11+00:00,2023-08-28T17:21:58+00:00,2023-08-28T17:18:50+00:00,2023-08-28T17:26:00+00:00
1253,2023-08-28T17:39:36+00:00,2023-08-28T17:37:23+00:00,2023-08-28T17:34:15+00:00,2023-08-28T17:41:25+00:00
1254,2023-08-28T19:24:13+00:00,2023-08-28T19:22:00+00:00,2023-08-28T19:18:52+00:00,2023-08-28T19:26:02+00:00
1394,2023-09-07T15:32:52+00:00,2023-09-07T15:30:32+00:00,2023-09-07T15:27:37+00:00,2023-09-07T15:34:48+00:00
2023,2023-10-13T15:08:51+00:00,2023-10-13T15:06:04+00:00,2023-10-13T15:03:57+00:00,2023-10-13T15:11:11+00:00
2024,2023-10-13T15:32:22+00:00,2023-10-13T15:29:36+00:00,2023-10-13T15:27:29+00:00,2023-10-13T15:34:43+00:00
2025,2023-10-13T15:32:28+00:00,2023-10-13T15:29:41+00:00,2023-10-13T15:27:34+00:00,2023-10-13T15:34:48+00:00
2026,2023-10-13T15:32:32+00:00,2023-10-13T15:29:46+00:00,2023-10-13T15:27:39+00:00,2023-10-13T15:34:53+00:00
2027,2023-10-13T15:32:38+00:00,2023-10-13T15:29:50+00:00,2023-10-13T15:27:44+00:00,2023-10-13T15:34:58+00:00
2028,2023-10-13T15:32:42+00:00,2023-10-13T15:29:56+00:00,2023-10-13T15:27:49+00:00,2023-10-13T15:35:03+00:00
2029,2023-10-13T15:32:48+00:00,2023-10-13T15:30:00+00:00,2023-10-13T15:27:54+00:00,2023-10-13T15:35:08+00:00
2030,2023-10-13T15:32:53+00:00,2023-10-13T15:30:05+00:00,2023-10-13T15:27:59+00:00,2023-10-13T15:35:13+00:00
2031,2023-10-13T15:32:58+00:00,2023-10-13T15:30:10+00:00,2023-10-13T15:28:04+00:00,2023-10-13T15:35:18+00:00
2032,2023-10-13T15:33:03+00:00,2023-10-13T15:30:16+00:00,2023-10-13T15:28:09+00:00,2023-10-13T15:35:23+00:00
2033,2023-10-13T15:33:08+00:00,2023-10-13T15:30:21+00:00,2023-10-13T15:28:14+00:00,2023-10-13T15:35:28+00:00
2034,2023-10-13T15:33:13+00:00,2023-10-13T15:30:26+00:00,2023-10-13T15:28:19+00:00,2023-10-13T15:35:33+00:00
2035,2023-10-13T15:33:18+00:00,2023-10-13T15:30:31+00:00,2023-10-13T15:28:24+00:00,2023-10-13T15:35:38+00:00
2036,2023-10-13T15:33:23+00:00,2023-10-13T15:30:36+00:00,2023-10-13T15:28:29+00:00,2023-10-13T15:35:43+00:00
2037,2023-10-13T15:33:28+00:00,2023-10-13T15:30:41+00:00,2023-10-13T15:28:34+00:00,2023-10-13T15:35:48+00:00
2038,2023-10-13T15:33:33+00:00,2023-10-13T15:30:46+00:00,2023-10-13T15:28:39+00:00,2023-10-13T15:35:53+00:00
2039,2023-10-13T15:33:38+00:00,2023-10-13T15:30:51+00:00,2023-10-13T15:28:44+00:00,2023-10-13T15:35:58+00:00
2040,2023-10-13T15:33:43+00:00,2023-10-13T15:30:56+00:00,2023-10-13T15:28:49+00:00,2023-10-13T15:36:03+00:00
2041,2023-10-13T15:33:48+00:00,2023-10-13T15:31:06+00:00,2023-10-13T15:28:54+00:00,2023-10-13T15:36:09+00:00
2042,2023-10-13T15:33:53+00:00,2023-10-13T15:31:06+00:00,2023-10-13T15:28:59+00:00,2023-10-13T15:36:13+00:00
2043,2023-10-13T15:33:58+00:00,2023-10-13T15:31:11+00:00,2023-10-13T15:29:09+00:00,2023-10-13T15:36:18+00:00
2044,2023-10-13T15:34:03+00:00,2023-10-13T15:31:16+00:00,2023-10-13T15:29:14+00:00,2023-10-13T15:36:24+00:00
2045,2023-10-13T15:34:08+00:00,2023-10-13T15:31:21+00:00,2023-10-13T15:29:14+00:00,2023-10-13T15:36:33+00:00
2046,2023-10-13T15:34:13+00:00,2023-10-13T15:31:26+00:00,2023-10-13T15:29:19+00:00,2023-10-13T15:36:33+00:00
