distiller_id,scan_number,datetime
04214,4699,2023-10-14 10:01:27
04215,4700,2023-10-14 10:02:25
04216,4701,2023-10-14 10:03:23
04217,4702,2023-10-14 10:11:59
04218,4703,2023-10-14 10:12:53
04219,4704,2023-10-14 10:13:54
04220,4705,2023-10-14 10:14:56
04221,4706,2023-10-14 10:16:00
04222,4707,2023-10-14 10:17:06
04223,4708,2023-10-14 10:18:17
04224,4709,2023-10-14 10:19:08
04225,4710,2023-10-14 10:20:06
04226,4711,2023-10-14 10:21:14
04227,4712,2023-10-14 10:22:24
04228,4713,2023-10-14 10:23:24
04229,4714,2023-10-14 10:24:20
04230,4715,2023-10-14 10:25:22
